Ribnica;1289.08;1325.74;1368.73;1385.74;1408.12;1431.13;1463.66;1514.42
Ribnica na Pohorju;1248.76;1257.28;1209.26;1290.42;1288.65;1261.75;1353.73;1392.28
Rogaška Slatina;1139.90;1193.51;1199.36;1214.06;1247.03;1262.57;1278.25;1330.52
Rogašovci;1256.74;1286.26;1317.19;1306.94;1255.84;1236.17;1247.13;1282.76
Rogatec;1153.15;1146.24;1132.43;1131.60;1119.12;1149.14;1182.12;1223.06
Ruše;1430.32;1512.94;1531.93;1554.96;1631.61;1695.78;1742.60;1782.47
Selnica ob Dravi;1360.02;1390.22;1364.75;1366.11;1225.30;1224.60;1286.94;1308.48
Semiè;1154.23;1259.10;1203.68;1149.97;1171.11;1263.79;1236.77;1254.86
Sevnica;1213.72;1272.68;1262.22;1276.35;1302.92;1323.84;1354.84;1410.44
Sežana;1401.83;1429.08;1411.67;1388.19;1408.82;1406.69;1447.94;1486.84
Slovenj Gradec;1378.24;1428.00;1428.39;1414.87;1429.64;1448.51;1480.10;1518.76
Slovenska Bistrica;1386.99;1412.03;1421.52;1460.28;1449.24;1452.77;1488.36;1544.32
Slovenske Konjice;1263.11;1248.42;1245.63;1271.40;1302.27;1316.77;1347.17;1380.63
Sodražica;1316.28;1338.41;1322.02;1294.27;1314.88;1287.46;1305.78;1374.96
Solèava;1255.77;1251.27;1450.99;1362.93;1339.06;1366.31;1368.24;1391.41
Središèe ob Dravi;1567.17;1602.03;1480.41;1505.94;1481.18;1484.98;1514.71;1470.93
Starše;1065.72;947.68;1033.72;1013.88;1251.70;1240.25;1278.68;1297.42
Straža;1074.87;1588.94;1299.99;1302.41;1314.12;1313.71;1325.32;1290.90
Sveta Ana;1564.19;1512.86;1463.04;1397.33;1289.35;1404.67;1424.60;1441.53
Sveta Trojica v Slov. goricah;1341.68;1325.11;1348.52;1379.27;1295.79;1260.23;1280.47;1323.36
Sveti Andraž v Slov. goricah;1363.10;1299.45;1279.65;1394.85;1430.27;1388.73;1327.79;1288.54
Sveti Jurij ob Šèavnici;1299.84;1316.03;1337.09;1310.52;1324.29;1357.71;1373.92;1459.46
Sveti Jurij v Slov. goricah;1422.92;1491.63;1466.05;1439.41;1418.23;1393.17;1454.45;1520.00
Sveti Tomaž;1514.37;1511.64;1464.32;1421.42;1424.06;1419.03;1475.07;1439.38
Šalovci;1354.11;1342.51;1271.58;1265.14;1267.32;1251.20;1333.98;1290.28
Šempeter - Vrtojba;1519.29;1523.68;1529.94;1536.13;1558.28;1584.64;1656.69;1676.75
Šenèur;1489.01;1523.39;1545.07;1534.32;1519.42;1555.97;1567.97;1615.89
Šentilj;1293.31;1313.39;1298.18;1319.51;1341.59;1330.81;1364.40;1410.61
Šentjernej;1295.44;1396.28;1417.64;1486.69;1520.02;1581.23;1610.21;1644.08
Šentjur;1260.12;1296.45;1275.45;1265.59;1287.93;1300.73;1329.78;1370.13
Šentrupert;1459.97;1480.27;1459.93;1443.96;1510.73;1504.11;1556.68;1577.25
Škocjan;1188.38;1283.62;1375.23;1386.16;1424.11;1470.79;1471.12;1504.59
Škofja Loka;1396.58;1426.55;1472.36;1512.37;1570.02;1593.55;1616.49;1658.44
Škofljica;1253.92;1288.61;1262.00;1268.88;1281.01;1285.99;1305.87;1362.79
Šmarje pri Jelšah;1261.77;1273.18;1255.41;1257.13;1280.64;1333.25;1361.69;1390.29
Šmarješke Toplice;1431.42;1402.41;1366.23;1383.25;1389.23;1397.47;1432.05;1422.41
Šmartno ob Paki;1232.16;1251.35;1221.41;1203.64;1216.04;1219.53;1236.99;1319.45
Šmartno pri Litiji;1136.19;1168.25;1173.62;1175.99;1170.70;1180.78;1188.80;1224.95
Šoštanj;1599.56;1646.21;1653.82;1690.99;1740.95;1660.68;1548.41;1547.56
Štore;1400.08;1467.33;1463.11;1494.99;1571.51;1622.08;1640.43;1767.27
Tabor;1250.21;1230.69;1396.14;1188.33;1171.06;1149.70;1139.32;1186.11
Tišina;1416.48;1426.89;1370.62;1356.98;1381.02;1390.08;1396.23;1412.85
Tolmin;1295.88;1341.60;1357.63;1380.99;1382.98;1411.53;1439.64;1480.62
Trbovlje;1584.23;1617.67;1600.87;1580.03;1562.67;1558.06;1569.06;1603.94
Trebnje;1363.29;1390.85;1347.60;1363.11;1388.47;1403.22;1439.31;1462.19
Trnovska vas;1146.91;1141.38;1339.91;1333.47;1370.12;1373.13;1415.93;1231.30
Trzin;1310.43;1438.52;1485.90;1493.20;1485.41;1550.69;1580.78;1625.31
Tržiè;1250.15;1290.65;1290.36;1302.82;1301.50;1321.30;1352.21;1385.69
Turnišèe;1107.68;1176.89;1188.10;1172.28;1170.02;1192.13;1191.76;1284.01
Velenje;1391.47;1445.16;1462.84;1475.48;1519.09;1489.26;1497.02;1536.00
Velika Polana;1264.11;1310.13;1221.67;1256.97;1244.65;1304.35;1310.56;1320.65
Velike Lašèe;1231.02;1281.87;1235.47;1189.12;1201.04;1204.46;1257.98;1249.82
Veržej;1298.77;1342.64;1365.03;1357.18;1382.87;1327.29;1363.47;1382.42
Videm;1254.43;1211.55;1189.27;1194.10;1218.69;1197.11;1212.41;1240.08
